Date,Open,High,Low,Close,Adj Close,Volume
2019-03-12,3.100000,3.170000,3.100000,3.150000,3.150000,69000
2019-03-13,3.140000,3.170000,3.120000,3.150000,3.150000,134700
2019-03-14,3.180000,3.200000,3.050000,3.050000,3.050000,246100
2019-03-15,3.050000,3.120000,2.970000,3.020000,3.020000,563700
2019-03-18,3.020000,3.100000,3.010000,3.090000,3.090000,284700
2019-03-19,3.100000,3.140000,3.070000,3.110000,3.110000,199800
2019-03-20,3.100000,3.180000,3.090000,3.150000,3.150000,217200
2019-03-21,3.150000,3.180000,3.140000,3.160000,3.160000,100600
2019-03-22,3.160000,3.190000,3.110000,3.140000,3.140000,561700
2019-03-25,3.130000,3.330000,3.130000,3.270000,3.270000,333700
2019-03-26,3.270000,3.270000,3.220000,3.250000,3.250000,286500
2019-03-27,3.250000,3.260000,3.180000,3.200000,3.200000,138400
2019-03-28,3.240000,3.260000,3.210000,3.250000,3.250000,82900
2019-03-29,3.250000,3.340000,3.220000,3.260000,3.260000,116400
2019-04-01,3.280000,3.310000,3.240000,3.250000,3.250000,185400
2019-04-02,3.240000,3.280000,3.170000,3.250000,3.250000,193100
2019-04-03,3.250000,3.260000,3.240000,3.250000,3.250000,107300
2019-04-04,3.260000,3.260000,3.210000,3.230000,3.230000,88200
2019-04-05,3.240000,3.300000,3.160000,3.260000,3.260000,70000
2019-04-08,3.240000,3.320000,3.210000,3.290000,3.290000,185300
2019-04-09,3.250000,3.280000,3.140000,3.150000,3.150000,87700
2019-04-10,3.170000,3.210000,3.150000,3.200000,3.200000,85300
2019-04-11,3.190000,3.210000,3.120000,3.140000,3.140000,69400
2019-04-12,3.150000,3.160000,3.080000,3.120000,3.120000,65900
2019-04-15,3.110000,3.170000,3.090000,3.140000,3.140000,145500
2019-04-16,3.150000,3.190000,3.130000,3.190000,3.190000,98300
2019-04-17,3.200000,3.220000,3.100000,3.150000,3.150000,176500
2019-04-18,3.130000,3.230000,3.100000,3.190000,3.190000,115100
2019-04-22,3.170000,3.240000,3.060000,3.140000,3.140000,66300
2019-04-23,3.150000,3.190000,3.060000,3.060000,3.060000,201900
2019-04-24,3.060000,3.140000,3.050000,3.090000,3.090000,123200
2019-04-25,3.080000,3.160000,3.080000,3.160000,3.160000,86200
2019-04-26,3.160000,3.190000,3.120000,3.150000,3.150000,72300
2019-04-29,3.150000,3.160000,3.110000,3.160000,3.160000,208500
2019-04-30,3.160000,3.180000,3.110000,3.180000,3.180000,182200
2019-05-01,3.170000,3.190000,3.130000,3.160000,3.160000,53800
2019-05-02,3.160000,3.180000,3.110000,3.150000,3.150000,55700
2019-05-03,3.150000,3.170000,3.110000,3.160000,3.160000,49600
2019-05-06,3.080000,3.150000,3.080000,3.130000,3.130000,88000
2019-05-07,3.110000,3.170000,3.100000,3.120000,3.120000,74800
2019-05-08,3.120000,3.160000,3.110000,3.140000,3.140000,96000
2019-05-09,3.130000,3.170000,3.060000,3.140000,3.140000,75400
2019-05-10,3.110000,3.170000,3.060000,3.170000,3.170000,202600
2019-05-13,3.100000,3.160000,3.070000,3.150000,3.150000,90200
2019-05-14,3.150000,3.200000,3.150000,3.170000,3.170000,44700
2019-05-15,3.160000,3.160000,3.150000,3.150000,3.150000,29300
2019-05-16,3.150000,3.200000,3.100000,3.160000,3.160000,72000
2019-05-17,3.130000,3.130000,3.050000,3.050000,3.050000,98200
2019-05-20,3.040000,3.150000,3.020000,3.140000,3.140000,171400
2019-05-21,3.150000,3.160000,3.100000,3.150000,3.150000,449100
2019-05-22,3.140000,3.150000,3.100000,3.130000,3.130000,47700
2019-05-23,3.110000,3.150000,3.060000,3.100000,3.100000,349000
2019-05-24,3.100000,3.130000,3.080000,3.130000,3.130000,73000
2019-05-28,3.140000,3.140000,3.050000,3.060000,3.060000,47100
2019-05-29,3.040000,3.060000,3.020000,3.060000,3.060000,92100
2019-05-30,3.060000,3.140000,3.040000,3.070000,3.070000,488400
2019-05-31,3.060000,3.120000,3.060000,3.120000,3.120000,723600
2019-06-03,3.120000,3.130000,3.050000,3.090000,3.090000,155600
2019-06-04,3.090000,3.120000,3.080000,3.100000,3.100000,84500
2019-06-05,3.100000,3.140000,3.090000,3.110000,3.110000,60200
2019-06-06,3.100000,3.110000,3.090000,3.110000,3.110000,75200
2019-06-07,3.100000,3.130000,3.040000,3.120000,3.120000,54300
2019-06-10,3.110000,3.130000,3.080000,3.110000,3.110000,47300
2019-06-11,3.130000,3.130000,3.070000,3.110000,3.110000,81400
2019-06-12,3.090000,3.110000,3.080000,3.100000,3.100000,61700
2019-06-13,3.120000,3.120000,3.100000,3.110000,3.110000,28200
2019-06-14,3.110000,3.140000,3.090000,3.090000,3.090000,42300
2019-06-17,3.090000,3.120000,3.090000,3.100000,3.100000,45800
2019-06-18,3.120000,3.150000,3.090000,3.100000,3.100000,73600
2019-06-19,3.100000,3.120000,3.080000,3.090000,3.090000,107700
2019-06-20,3.110000,3.200000,3.090000,3.100000,3.100000,98600
2019-06-21,3.100000,3.170000,2.840000,2.860000,2.860000,388900
2019-06-24,2.870000,3.010000,2.870000,2.880000,2.880000,124000
2019-06-25,2.900000,2.910000,2.880000,2.890000,2.890000,77200
2019-06-26,2.900000,2.920000,2.830000,2.860000,2.860000,409400
2019-06-27,2.850000,2.980000,2.850000,2.930000,2.930000,141800
2019-06-28,2.910000,3.020000,2.900000,2.960000,2.960000,223800
2019-07-01,2.960000,2.960000,2.900000,2.900000,2.900000,60700
2019-07-02,2.900000,2.930000,2.700000,2.830000,2.830000,311800
2019-07-03,2.830000,2.890000,2.820000,2.890000,2.890000,72300
2019-07-05,2.860000,2.920000,2.860000,2.890000,2.890000,19500
2019-07-08,2.880000,2.900000,2.820000,2.820000,2.820000,19400
2019-07-09,2.810000,2.810000,2.750000,2.790000,2.790000,47200
2019-07-10,2.800000,2.860000,2.780000,2.780000,2.780000,39600
2019-07-11,2.770000,2.830000,2.770000,2.830000,2.830000,61600
2019-07-12,2.830000,2.960000,2.820000,2.820000,2.820000,140600
2019-07-15,2.800000,2.800000,2.730000,2.800000,2.800000,37000
2019-07-16,2.790000,2.850000,2.770000,2.820000,2.820000,48700
2019-07-17,2.820000,2.820000,2.750000,2.760000,2.760000,43800
2019-07-18,2.760000,2.830000,2.760000,2.790000,2.790000,47800
2019-07-19,2.760000,2.830000,2.760000,2.820000,2.820000,52600
2019-07-22,2.820000,2.830000,2.730000,2.750000,2.750000,38800
2019-07-23,2.760000,2.820000,2.760000,2.800000,2.800000,47800
2019-07-24,2.810000,2.820000,2.770000,2.780000,2.780000,80900
2019-07-25,2.750000,2.790000,2.720000,2.720000,2.720000,64900
2019-07-26,2.720000,2.770000,2.720000,2.750000,2.750000,57100
2019-07-29,2.830000,2.890000,2.700000,2.770000,2.770000,64800
2019-07-30,2.760000,2.840000,2.760000,2.810000,2.810000,48400
2019-07-31,2.850000,2.870000,2.790000,2.790000,2.790000,72800
2019-08-01,2.780000,2.860000,2.740000,2.750000,2.750000,83200
2019-08-02,2.750000,3.090000,2.710000,3.060000,3.060000,132600
2019-08-05,3.050000,3.050000,2.900000,2.950000,2.950000,87500
2019-08-06,3.150000,3.150000,2.910000,2.950000,2.950000,84500
2019-08-07,2.950000,3.050000,2.920000,2.970000,2.970000,47200
2019-08-08,2.990000,3.050000,2.900000,2.920000,2.920000,189200
2019-08-09,2.930000,2.960000,2.860000,2.910000,2.910000,45000
2019-08-12,2.890000,2.960000,2.850000,2.940000,2.940000,50700
2019-08-13,2.940000,3.000000,2.880000,2.950000,2.950000,41900
2019-08-14,2.910000,2.940000,2.840000,2.910000,2.910000,53000
2019-08-15,2.910000,2.910000,2.840000,2.890000,2.890000,93500
2019-08-16,2.890000,2.930000,2.810000,2.860000,2.860000,78000
2019-08-19,2.850000,2.930000,2.840000,2.890000,2.890000,48900
2019-08-20,2.870000,2.950000,2.850000,2.870000,2.870000,47800
2019-08-21,2.890000,2.960000,2.860000,2.900000,2.900000,38500
2019-08-22,2.920000,2.950000,2.880000,2.880000,2.880000,41700
2019-08-23,2.870000,2.880000,2.700000,2.710000,2.710000,156800
2019-08-26,2.730000,2.740000,2.670000,2.690000,2.690000,109100
2019-08-27,2.720000,2.720000,2.580000,2.590000,2.590000,84700
2019-08-28,2.560000,2.640000,2.560000,2.630000,2.630000,87200
2019-08-29,2.650000,2.680000,2.600000,2.600000,2.600000,80400
2019-08-30,2.610000,2.700000,2.570000,2.610000,2.610000,104800
2019-09-03,2.570000,2.620000,2.570000,2.590000,2.590000,206800
2019-09-04,2.600000,2.680000,2.600000,2.620000,2.620000,75900
2019-09-05,2.640000,2.670000,2.580000,2.610000,2.610000,72000
2019-09-06,2.630000,2.640000,2.600000,2.610000,2.610000,71900
2019-09-09,2.640000,2.710000,2.580000,2.590000,2.590000,145200
2019-09-10,2.600000,2.670000,2.590000,2.590000,2.590000,163700
2019-09-11,2.610000,2.950000,2.590000,2.910000,2.910000,267600
2019-09-12,2.950000,2.990000,2.850000,2.950000,2.950000,135700
2019-09-13,2.990000,3.020000,2.930000,3.010000,3.010000,157400
2019-09-16,3.040000,3.040000,2.780000,2.820000,2.820000,225100
2019-09-17,2.820000,2.910000,2.730000,2.740000,2.740000,140400
2019-09-18,2.750000,2.750000,2.670000,2.670000,2.670000,93500
2019-09-19,2.670000,2.690000,2.610000,2.670000,2.670000,84700
2019-09-20,2.650000,2.790000,2.620000,2.750000,2.750000,410300
2019-09-23,2.750000,2.770000,2.680000,2.740000,2.740000,87200
2019-09-24,2.740000,2.780000,2.680000,2.680000,2.680000,62800
2019-09-25,2.690000,2.790000,2.630000,2.760000,2.760000,103900
2019-09-26,2.770000,2.780000,2.700000,2.750000,2.750000,39700
2019-09-27,2.760000,2.780000,2.700000,2.740000,2.740000,43000
2019-09-30,2.740000,2.740000,2.660000,2.680000,2.680000,46200
2019-10-01,2.700000,2.700000,2.580000,2.620000,2.620000,97700
2019-10-02,2.600000,2.610000,2.560000,2.590000,2.590000,164500
2019-10-03,2.570000,2.630000,2.550000,2.620000,2.620000,63700
2019-10-04,2.610000,2.640000,2.540000,2.550000,2.550000,81600
2019-10-07,2.590000,2.590000,2.520000,2.540000,2.540000,64100
2019-10-08,2.510000,2.560000,2.500000,2.510000,2.510000,60900
2019-10-09,2.510000,2.550000,2.500000,2.520000,2.520000,105700
2019-10-10,2.540000,2.600000,2.510000,2.570000,2.570000,95900
2019-10-11,2.580000,2.870000,2.550000,2.740000,2.740000,142500
2019-10-14,2.720000,2.720000,2.600000,2.640000,2.640000,28700
2019-10-15,2.630000,2.720000,2.610000,2.700000,2.700000,57100
2019-10-16,2.690000,2.700000,2.660000,2.690000,2.690000,21800
2019-10-17,2.700000,2.710000,2.630000,2.690000,2.690000,66700
2019-10-18,2.670000,2.720000,2.620000,2.700000,2.700000,46900
2019-10-21,2.690000,2.720000,2.680000,2.700000,2.700000,55600
2019-10-22,2.690000,2.700000,2.640000,2.660000,2.660000,40000
2019-10-23,2.670000,2.670000,2.620000,2.640000,2.640000,52500
2019-10-24,2.660000,2.730000,2.560000,2.560000,2.560000,61200
2019-10-25,2.580000,2.610000,2.500000,2.530000,2.530000,103900
2019-10-28,2.520000,2.560000,2.520000,2.550000,2.550000,59600
2019-10-29,2.540000,2.550000,2.480000,2.500000,2.500000,82400
2019-10-30,2.510000,2.520000,2.470000,2.510000,2.510000,91800
2019-10-31,2.510000,2.560000,2.510000,2.540000,2.540000,65400
2019-11-01,2.580000,2.600000,2.530000,2.560000,2.560000,93000
2019-11-04,2.590000,2.600000,2.550000,2.550000,2.550000,42200
2019-11-05,2.570000,2.570000,2.470000,2.500000,2.500000,115500
2019-11-06,2.510000,2.550000,2.460000,2.460000,2.460000,301700
2019-11-07,2.490000,2.560000,2.420000,2.550000,2.550000,171000
2019-11-08,2.550000,2.640000,2.550000,2.580000,2.580000,111900
2019-11-11,2.570000,2.620000,2.520000,2.610000,2.610000,38400
2019-11-12,2.620000,2.840000,2.620000,2.780000,2.780000,136900
2019-11-13,2.770000,3.050000,2.770000,2.980000,2.980000,143200
2019-11-14,2.980000,3.080000,2.880000,2.990000,2.990000,210600
2019-11-15,3.040000,3.040000,2.910000,2.950000,2.950000,51500
2019-11-18,3.480000,3.500000,3.020000,3.070000,3.070000,1150000
2019-11-19,3.090000,3.170000,3.070000,3.120000,3.120000,222400
2019-11-20,3.100000,3.180000,3.030000,3.030000,3.030000,126700
2019-11-21,3.020000,3.090000,2.970000,3.030000,3.030000,91800
2019-11-22,3.040000,3.040000,2.980000,2.990000,2.990000,74300
2019-11-25,3.030000,3.090000,3.010000,3.060000,3.060000,123700
2019-11-26,3.050000,3.120000,2.980000,3.000000,3.000000,102800
2019-11-27,3.010000,3.010000,2.930000,2.930000,2.930000,36000
2019-11-29,2.930000,3.000000,2.920000,2.970000,2.970000,35900
2019-12-02,3.000000,3.000000,2.830000,2.890000,2.890000,233500
2019-12-03,2.860000,2.870000,2.820000,2.840000,2.840000,90000
2019-12-04,2.840000,2.900000,2.830000,2.880000,2.880000,59200
2019-12-05,2.890000,2.950000,2.880000,2.930000,2.930000,30600
2019-12-06,2.950000,3.010000,2.920000,2.940000,2.940000,74800
2019-12-09,2.910000,2.960000,2.860000,2.880000,2.880000,67800
2019-12-10,2.870000,2.990000,2.870000,2.930000,2.930000,50200
2019-12-11,2.950000,2.990000,2.890000,2.990000,2.990000,93700
2019-12-12,2.970000,2.990000,2.910000,2.970000,2.970000,72400
2019-12-13,2.970000,2.990000,2.850000,2.860000,2.860000,118900
2019-12-16,2.900000,2.900000,2.830000,2.850000,2.850000,62300
2019-12-17,2.860000,2.860000,2.740000,2.760000,2.760000,112200
2019-12-18,2.740000,2.780000,2.710000,2.730000,2.730000,55800
2019-12-19,2.720000,2.840000,2.720000,2.770000,2.770000,88400
2019-12-20,2.790000,2.830000,2.690000,2.700000,2.700000,130800
2019-12-23,2.750000,2.750000,2.600000,2.610000,2.610000,166100
2019-12-24,2.600000,2.680000,2.590000,2.670000,2.670000,41700
2019-12-26,2.650000,2.680000,2.640000,2.680000,2.680000,22300
2019-12-27,2.680000,2.710000,2.650000,2.670000,2.670000,315800
2019-12-30,2.800000,2.800000,2.650000,2.670000,2.670000,331100
2019-12-31,2.660000,2.730000,2.650000,2.660000,2.660000,109300
2020-01-02,2.680000,2.730000,2.620000,2.630000,2.630000,54600
2020-01-03,2.610000,2.670000,2.610000,2.620000,2.620000,61500
2020-01-06,2.620000,2.720000,2.600000,2.710000,2.710000,114000
2020-01-07,2.700000,2.750000,2.670000,2.710000,2.710000,33600
2020-01-08,2.690000,2.710000,2.680000,2.700000,2.700000,29300
2020-01-09,2.730000,2.750000,2.680000,2.700000,2.700000,70900
2020-01-10,2.700000,2.730000,2.650000,2.680000,2.680000,54900
2020-01-13,2.670000,2.750000,2.670000,2.730000,2.730000,53900
2020-01-14,2.750000,2.750000,2.670000,2.690000,2.690000,75000
2020-01-15,2.680000,2.710000,2.660000,2.670000,2.670000,61000
2020-01-16,2.670000,2.820000,2.670000,2.770000,2.770000,77800
2020-01-17,2.810000,2.810000,2.730000,2.770000,2.770000,123300
2020-01-21,2.750000,2.770000,2.680000,2.690000,2.690000,108900
2020-01-22,2.690000,2.720000,2.650000,2.650000,2.650000,95600
2020-01-23,2.650000,2.660000,2.570000,2.590000,2.590000,122500
2020-01-24,2.580000,2.640000,2.580000,2.620000,2.620000,43000
2020-01-27,2.600000,2.600000,2.520000,2.530000,2.530000,104000
2020-01-28,2.530000,2.550000,2.500000,2.510000,2.510000,343200
2020-01-29,2.500000,2.540000,2.420000,2.430000,2.430000,160900
2020-01-30,2.410000,2.600000,2.400000,2.570000,2.570000,124600
2020-01-31,2.570000,2.570000,2.450000,2.500000,2.500000,108500
2020-02-03,2.500000,2.610000,2.420000,2.480000,2.480000,81200
2020-02-04,2.480000,2.500000,2.440000,2.450000,2.450000,87800
2020-02-05,2.450000,2.500000,2.420000,2.440000,2.440000,52200
2020-02-06,2.440000,2.570000,2.440000,2.550000,2.550000,77900
2020-02-07,2.520000,2.560000,2.460000,2.480000,2.480000,36800
2020-02-10,2.470000,2.500000,2.460000,2.470000,2.470000,60800
2020-02-11,2.470000,2.490000,2.420000,2.450000,2.450000,94100
2020-02-12,2.460000,2.520000,2.420000,2.470000,2.470000,101600
2020-02-13,2.470000,2.470000,2.410000,2.430000,2.430000,51900
2020-02-14,2.420000,2.470000,2.390000,2.450000,2.450000,97100
2020-02-18,2.440000,2.460000,2.410000,2.420000,2.420000,109400
2020-02-19,2.430000,2.510000,2.380000,2.380000,2.380000,135800
2020-02-20,2.380000,2.490000,2.380000,2.460000,2.460000,171100
2020-02-21,2.470000,2.630000,2.470000,2.590000,2.590000,203200
2020-02-24,2.550000,2.600000,2.390000,2.510000,2.510000,114400
2020-02-25,2.500000,2.500000,2.400000,2.440000,2.440000,134800
2020-02-26,2.440000,2.520000,2.410000,2.430000,2.430000,118000
2020-02-27,2.420000,2.440000,2.330000,2.330000,2.330000,180800
2020-02-28,2.300000,2.420000,2.300000,2.300000,2.300000,284200
2020-03-02,2.320000,2.390000,2.300000,2.340000,2.340000,423200
2020-03-03,2.350000,2.390000,2.310000,2.320000,2.320000,162200
2020-03-04,2.340000,2.390000,2.300000,2.320000,2.320000,154600
2020-03-05,2.300000,2.330000,2.220000,2.240000,2.240000,219400
2020-03-06,2.190000,2.290000,2.190000,2.220000,2.220000,158000
2020-03-09,2.150000,2.220000,2.090000,2.160000,2.160000,448400
2020-03-10,2.200000,2.200000,2.040000,2.160000,2.160000,393600
2020-03-11,2.100000,2.330000,2.100000,2.220000,2.220000,272300
2020-03-12,2.190000,2.310000,2.110000,2.270000,2.270000,371200
2020-03-13,2.350000,2.370000,2.210000,2.300000,2.300000,164300
2020-03-16,1.760000,2.300000,1.750000,2.090000,2.090000,415600
2020-03-17,2.090000,2.300000,2.050000,2.210000,2.210000,323900
2020-03-18,2.140000,2.170000,1.960000,2.010000,2.010000,837200
2020-03-19,2.030000,2.290000,1.980000,2.190000,2.190000,409200
2020-03-20,2.190000,2.290000,2.050000,2.290000,2.290000,443600
2020-03-23,2.300000,2.370000,2.150000,2.250000,2.250000,325000
2020-03-24,2.300000,2.380000,2.220000,2.280000,2.280000,244900
2020-03-25,2.260000,2.340000,2.200000,2.300000,2.300000,268400
2020-03-26,2.310000,2.400000,2.280000,2.390000,2.390000,224800
2020-03-27,2.310000,2.360000,2.220000,2.250000,2.250000,192900
2020-03-30,2.220000,2.340000,2.220000,2.310000,2.310000,254400
2020-03-31,2.330000,2.360000,2.180000,2.220000,2.220000,344000
2020-04-01,2.160000,2.300000,2.140000,2.200000,2.200000,301000
2020-04-02,2.200000,2.320000,2.200000,2.280000,2.280000,237300
2020-04-03,2.260000,2.330000,2.210000,2.310000,2.310000,226300
2020-04-06,2.380000,2.460000,2.350000,2.450000,2.450000,300300
2020-04-07,2.460000,2.530000,2.310000,2.360000,2.360000,265600
2020-04-08,2.400000,2.600000,2.400000,2.510000,2.510000,267300
2020-04-09,2.580000,2.660000,2.500000,2.530000,2.530000,291800
2020-04-13,2.500000,2.590000,2.470000,2.490000,2.490000,152800
2020-04-14,2.530000,2.570000,2.360000,2.380000,2.380000,237900
2020-04-15,2.290000,2.420000,2.290000,2.390000,2.390000,164000
2020-04-16,2.410000,2.450000,2.380000,2.400000,2.400000,204600
2020-04-17,2.380000,2.500000,2.370000,2.430000,2.430000,186000
2020-04-20,2.430000,2.620000,2.430000,2.530000,2.530000,240200
2020-04-21,2.480000,2.650000,2.440000,2.630000,2.630000,170800
2020-04-22,2.650000,2.710000,2.540000,2.660000,2.660000,145400
2020-04-23,2.650000,2.690000,2.500000,2.540000,2.540000,104400
2020-04-24,2.530000,2.620000,2.500000,2.590000,2.590000,64100
2020-04-27,2.600000,2.710000,2.510000,2.680000,2.680000,102300
2020-04-28,2.720000,2.720000,2.610000,2.640000,2.640000,61000
2020-04-29,2.710000,2.730000,2.630000,2.630000,2.630000,136100
2020-04-30,2.600000,2.610000,2.410000,2.530000,2.530000,211800
2020-05-01,2.480000,2.520000,2.400000,2.450000,2.450000,142500
2020-05-04,2.440000,2.460000,2.390000,2.430000,2.430000,107400
2020-05-05,2.470000,2.490000,2.400000,2.420000,2.420000,76600
2020-05-06,2.400000,2.420000,2.370000,2.390000,2.390000,82600
2020-05-07,2.410000,2.420000,2.340000,2.390000,2.390000,103800
2020-05-08,2.430000,2.490000,2.360000,2.450000,2.450000,196300
2020-05-11,2.450000,2.550000,2.440000,2.500000,2.500000,257600
2020-05-12,2.530000,2.580000,2.430000,2.440000,2.440000,149400
2020-05-13,2.430000,2.430000,2.300000,2.330000,2.330000,145500
2020-05-14,2.290000,2.330000,2.260000,2.280000,2.280000,248600
2020-05-15,2.290000,2.300000,2.230000,2.240000,2.240000,188000
2020-05-18,2.270000,2.430000,2.270000,2.310000,2.310000,175000
2020-05-19,2.300000,2.360000,2.240000,2.250000,2.250000,162700
2020-05-20,2.280000,2.380000,2.250000,2.320000,2.320000,149000
2020-05-21,2.320000,2.370000,2.300000,2.320000,2.320000,82000
2020-05-22,2.590000,2.620000,2.370000,2.600000,2.600000,344000
2020-05-26,2.680000,2.690000,2.590000,2.600000,2.600000,176100
2020-05-27,2.630000,2.680000,2.530000,2.570000,2.570000,163100
2020-05-28,2.600000,2.690000,2.550000,2.570000,2.570000,142600
2020-05-29,2.560000,2.610000,2.490000,2.590000,2.590000,67500
2020-06-01,2.590000,2.640000,2.550000,2.550000,2.550000,147000
2020-06-02,2.580000,2.590000,2.490000,2.500000,2.500000,81700
2020-06-03,2.520000,3.360000,2.520000,2.970000,2.970000,2833100
2020-06-04,2.910000,3.220000,2.830000,3.190000,3.190000,937300
2020-06-05,3.700000,3.800000,3.080000,3.720000,3.720000,4023800
2020-06-08,3.800000,3.900000,3.700000,3.870000,3.870000,1236200
2020-06-09,3.850000,3.950000,3.640000,3.730000,3.730000,982900
2020-06-10,3.730000,4.300000,3.710000,3.990000,3.990000,1707100
2020-06-11,3.890000,3.980000,3.730000,3.980000,3.980000,854100
2020-06-12,4.070000,4.130000,3.970000,4.010000,4.010000,923600
2020-06-15,3.940000,4.100000,3.810000,4.000000,4.000000,558200
2020-06-16,4.000000,4.050000,3.830000,3.970000,3.970000,605000
2020-06-17,4.000000,4.030000,3.840000,3.850000,3.850000,404000
2020-06-18,3.790000,3.940000,3.780000,3.870000,3.870000,421000
2020-06-19,3.790000,3.990000,3.780000,3.890000,3.890000,580200
2020-06-22,3.880000,3.930000,3.780000,3.920000,3.920000,263600
2020-06-23,3.990000,4.100000,3.940000,3.980000,3.980000,381100
2020-06-24,3.950000,3.980000,3.820000,3.950000,3.950000,355100
2020-06-25,3.940000,3.990000,3.840000,3.880000,3.880000,293300
2020-06-26,3.890000,4.250000,3.760000,4.080000,4.080000,858100
2020-06-29,4.100000,4.170000,4.010000,4.060000,4.060000,271400
2020-06-30,4.050000,4.200000,4.000000,4.090000,4.090000,252900
2020-07-01,4.070000,4.140000,4.040000,4.050000,4.050000,280800
2020-07-02,4.120000,4.340000,4.070000,4.130000,4.130000,1442700
2020-07-06,4.160000,4.250000,3.950000,4.000000,4.000000,318100
2020-07-07,4.000000,4.000000,3.790000,3.850000,3.850000,314500
2020-07-08,3.840000,3.920000,3.760000,3.890000,3.890000,259700
2020-07-09,3.890000,3.980000,3.840000,3.850000,3.850000,288600
2020-07-10,3.860000,3.930000,3.750000,3.820000,3.820000,201800
2020-07-13,3.830000,4.010000,3.780000,3.790000,3.790000,439300
2020-07-14,3.850000,3.940000,3.780000,3.890000,3.890000,164100
2020-07-15,3.950000,4.150000,3.900000,4.110000,4.110000,272800
2020-07-16,4.090000,4.170000,4.040000,4.090000,4.090000,222700
2020-07-17,4.080000,4.080000,3.900000,4.010000,4.010000,249800
2020-07-20,4.010000,4.290000,3.990000,4.250000,4.250000,400300
2020-07-21,4.200000,4.460000,4.040000,4.100000,4.100000,729600
2020-07-22,4.070000,4.130000,4.040000,4.090000,4.090000,173900
2020-07-23,4.080000,4.320000,3.960000,4.020000,4.020000,434300
2020-07-24,3.980000,4.130000,3.980000,4.070000,4.070000,143700
2020-07-27,4.010000,4.120000,3.980000,4.040000,4.040000,176300
2020-07-28,4.030000,4.180000,4.030000,4.090000,4.090000,240300
2020-07-29,4.120000,4.250000,3.990000,4.090000,4.090000,199900
2020-07-30,4.050000,4.100000,3.980000,4.040000,4.040000,193100
2020-07-31,4.020000,4.040000,3.890000,3.960000,3.960000,227600
2020-08-03,3.930000,4.060000,3.910000,3.970000,3.970000,112800
2020-08-04,3.970000,4.010000,3.940000,3.970000,3.970000,98300
2020-08-05,4.010000,4.010000,3.900000,3.950000,3.950000,176900
2020-08-06,3.940000,4.150000,3.940000,4.040000,4.040000,327600
2020-08-07,4.060000,4.200000,4.040000,4.140000,4.140000,426200
2020-08-10,4.200000,4.250000,3.930000,4.100000,4.100000,623600
2020-08-11,4.150000,4.190000,4.060000,4.100000,4.100000,373700
2020-08-12,4.180000,4.210000,4.070000,4.110000,4.110000,207900
2020-08-13,4.120000,4.200000,4.070000,4.130000,4.130000,255700
2020-08-14,4.130000,4.130000,3.960000,4.000000,4.000000,263300
2020-08-17,4.020000,4.050000,3.960000,4.030000,4.030000,138600
2020-08-18,3.990000,4.030000,3.830000,3.970000,3.970000,478200
2020-08-19,3.970000,4.010000,3.920000,3.980000,3.980000,119400
2020-08-20,3.960000,4.000000,3.920000,3.990000,3.990000,80400
2020-08-21,4.000000,4.010000,3.910000,3.920000,3.920000,163300
2020-08-24,3.890000,4.010000,3.870000,3.980000,3.980000,206300
2020-08-25,3.990000,4.010000,3.960000,3.970000,3.970000,306300
2020-08-26,3.990000,4.000000,3.890000,3.940000,3.940000,230700
2020-08-27,3.970000,3.970000,3.810000,3.850000,3.850000,114700
2020-08-28,3.840000,3.910000,3.740000,3.840000,3.840000,185700
2020-08-31,3.830000,3.850000,3.720000,3.800000,3.800000,182900
2020-09-01,3.760000,3.820000,3.720000,3.820000,3.820000,191400
2020-09-02,3.810000,3.910000,3.810000,3.820000,3.820000,79900
2020-09-03,3.820000,3.860000,3.720000,3.750000,3.750000,140600
2020-09-04,3.760000,3.840000,3.660000,3.800000,3.800000,167100
2020-09-08,3.780000,3.860000,3.660000,3.690000,3.690000,249000
2020-09-09,3.780000,3.920000,3.780000,3.820000,3.820000,229700
2020-09-10,3.840000,3.930000,3.820000,3.820000,3.820000,112400
2020-09-11,3.800000,3.860000,3.740000,3.760000,3.760000,108700
2020-09-14,3.780000,3.850000,3.770000,3.790000,3.790000,80300
2020-09-15,3.800000,3.850000,3.780000,3.790000,3.790000,115700
2020-09-16,3.870000,3.910000,3.770000,3.790000,3.790000,179500
2020-09-17,3.740000,3.840000,3.580000,3.800000,3.800000,46600
2020-09-18,3.840000,3.880000,3.740000,3.800000,3.800000,183100
2020-09-21,3.730000,3.800000,3.590000,3.610000,3.610000,246600
2020-09-22,3.600000,3.700000,3.460000,3.520000,3.520000,389500
2020-09-23,3.530000,3.620000,3.460000,3.480000,3.480000,195900
2020-09-24,3.490000,3.510000,3.320000,3.380000,3.380000,286000
2020-09-25,3.380000,3.470000,3.350000,3.380000,3.380000,122500
2020-09-28,3.450000,3.630000,3.450000,3.510000,3.510000,412900
2020-09-29,3.500000,3.600000,3.430000,3.450000,3.450000,70500
2020-09-30,3.470000,3.540000,3.440000,3.470000,3.470000,42300
2020-10-01,3.490000,3.580000,3.490000,3.520000,3.520000,140400
2020-10-02,3.420000,3.490000,3.390000,3.410000,3.410000,117300
2020-10-05,3.440000,3.530000,3.360000,3.370000,3.370000,119200
2020-10-06,3.370000,3.400000,3.330000,3.340000,3.340000,131900
2020-10-07,3.370000,3.370000,3.300000,3.330000,3.330000,192200
